ID,Decreased_Death,Enjoyment,Flow,Increased_Distance,NetScore,game_experience,game_skill,mario_experience,sl,RATIO,DET,DIV,Lmax,Lmean,LmeanwithoutMain,ENTR,TREND,LAM,Vmax,Vmean,REC
33,1,5,6.555555555555555,0,4400,25,3,0,0.2523670794,111.3302867083066,0.48750418696347053,0.047619047619047616,21,2.642352501789586,2.5290590310198153,0.97652783965007794,-1.0563824718703223e-6,0.4477074580585888,21,3.3065266252950907,0.004378899950565714
34,-4,2,2.5142857142857142,3,-400,0,1,0,0.1358476748,189.50394365198528,0.5137432545413088,0.06666666666666667,15,2.702041925838277,2.525952221049602,0.9804045876419013,-3.715135843140929e-7,0.47664665197233413,16,3.2219025502969525,0.002710989780164011
36,2,4,5.542857142857143,29,20020,0,2,0,0.1775599129,2050.1524569155495,0.5744833139482867,0.14285714285714285,7,5.355296080066722,2.3147942157953283,0.7250395285813087,-3.105320254453464e-8,0.1848438758164087,7,2.5825,2.802149235343189e-4
37,0,4,3.861111111111111,0,-600,0,2,0,1.191956124,63.72902983395952,0.6969437262247246,0.03571428571428571,28,3.0397612198407025,3.003352245139577,1.3826379748228428,-2.2004842713473464e-6,0.6909856583954697,29,4.220584399858418,0.010936047952409619
38,0,2,2.361111111111111,1,-400,1,2,0,0.009861212564,103.34329557538072,0.7106915784351152,0.025,40,3.2288507040068266,3.1683641239901146,1.4913026539628653,-1.7911956510734866e-6,0.6667073216840447,41,4.496857518920698,0.00687699743343991
39,0,2,3.5555555555555554,5,1400,0,2,0,0.02380952381,1168.6923104114912,0.5713677904661414,0.1111111111111111,9,3.6041867954911435,2.4275284517929996,0.870564387152092,-1.0835141855163356e-7,0.290032165285318,8,2.7372309669129455,4.888949686551505e-4
40,3,1,3.1944444444444446,8,1400,0,3,0,0.2137905874,2819.302404332321,0.6629652403515752,0.1111111111111111,9,6.099500831946755,2.492010652463382,0.9452273469738962,-3.7379087734984985e-8,0.28505805331500705,9,3.094228504122497,2.3515222749174414e-4
41,-4,3,4.75,1,400,4,5,4,3.078199926,34.83593539851225,0.6281704317281966,0.02,50,2.8625437448809183,2.8393631370012806,1.2644258995369007,-4.346223988117708e-6,0.5839985546346694,51,3.962407467825569,0.018032253893633762
44,2,3,3.888888888888889,8,7e3,0.5,3,0,1.097326203,559.7298427030961,0.4215118425911273,0.125,8,3.148136474667087,2.264302600472813,0.6485382329631693,-1.4636566992922867e-7,0.1949781083504774,6,2.4863446791335932,7.53063014391953e-4
45,5,2,3.25,4,200,0,1,0,0.699748292,1806.954206922151,0.525738255965775,0.08333333333333333,12,5.424190312410433,2.2368119266055047,0.6005050946144398,-4.963936213616713e-8,0.1672361585687696,6,2.5562632696390657,2.909527280501942e-4
46,-2,4,3.6285714285714286,2,11e3,0,2,0,0.0258087968,109.79126513571067,0.6542050244875497,0.047619047619047616,21,2.951862994677158,2.8830593710125347,1.2975807737960807,-1.415924935066036e-6,0.6182007715692132,21,4.021769909908285,0.005958625430528564
47,4,4,5.555555555555555,10,3e3,0.25,2,0,0.02382697947,62.524073440308506,0.7406557811803097,0.03571428571428571,28,3.251216270477388,3.217264091039257,1.5215108082190194,-2.912049820338332e-6,0.733501056899558,26,4.643716499519658,0.01184592974236413
48,-1,4,5.055555555555555,41,30400,0,4,0,3.674206494,139.42795356926013,0.5688388284887456,0.045454545454545456,22,2.8215568256537353,2.7106844437250897,1.155469732398372,-1.0559318921275346e-6,0.4708254051772134,23,3.575865059942381,0.004079804758851157
49,-2,5,5.628571428571429,-7,-800,20,4,0,1.813961988,2596.552450531914,0.6357310958763941,0.125,8,5.859478151524677,2.420125786163522,0.8639520232890893,-4.040373550814384e-8,0.21736757733892698,7,2.8087263111502865,2.4483660853689363e-4
